word,num_words
unusual pain,2
horrible pain,2
weird pain,2
searing pain,2
intolerable pain,2
piercing pain,2
debilitating pain,2
electric shock,2
pins and needles,3
burning sensation,2
feels bruised,2
limited mobility,2
morning stiffness,2
sore,1
hurt,1
hurting,1
discomfort,1
burning,1
throbbing,1
stabbing,1
shooting,1
inflammation,1
inflamed,1
stiffness,1
tender,1
spasm,1
migraine,1
flare,1
flares,1
flare-up,1
flareup,1
agony,1
unbearable,1
excruciating,1
debilitating,1
torture,1
torment,1
intolerable,1
suffering,1
searing,1
piercing,1
twinge,1
neuropathy,1
neuropathic,1
tingling,1
numbness,1
zapping,1
hypersensitive,1
locking,1
tightness,1
tenderness,1
